iso3,indicator,demographic,demographic_category,year,value,name
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2000,0.2185114250565,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2000,0.729025673621049,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2001,0.235192890260786,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2001,0.733335993032234,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2002,0.242186181029494,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2002,0.738674001747636,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2003,0.244699436192319,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2003,0.746257370077102,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2004,0.26136463262387,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2004,0.7558437995402,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2005,0.299327932654975,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2005,0.765569905075416,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2006,0.312737155717614,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2006,0.782191957127201,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2007,0.329293787661574,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2007,0.801408102424532,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2008,0.371445204671152,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2008,0.819772893204706,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2009,0.419138923326354,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2009,0.830828648250297,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2010,0.469406827158844,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2010,0.840942956437566,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2011,0.464684200220174,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2011,0.839918285774878,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2012,0.500260498926487,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2012,0.849303748836704,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2013,0.495459359638533,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2013,0.848475719245915,Afghanistan
